Session Title,Player Name,Minutes Played,Split Name,Player Name,Distance (miles),Player Name,Sprint Distance (yards),Player Name,Power Plays,Energy (kcal),Impacts,Hr Load,Time In Red Zone (min),Player Load,Player Name,Top Speed (mph),Distance Per Min (yd/min),Power Score (w/kg),Work Ratio,Hr Max (bpm),Max Deceleration,Max Acceleration,Distance in Speed Zone 1 (miles),Distance in Speed Zone 2 (miles),Distance in Speed Zone 3 (miles),Distance in Speed Zone 4 (miles),Distance in Speed Zone 5 (miles),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s (miles),Distance in Deceleration Zones: 1 - 2 m/s/s (miles),Distance in Deceleration Zones: 2 - 3 m/s/s (miles),Distance in Deceleration Zones: 3 - 4 m/s/s (miles),Distance in Deceleration Zones: > 4 m/s/s (miles),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s (miles),Distance in Acceleration Zones: 1 - 2 m/s/s (miles),Distance in Acceleration Zones: 2 - 3 m/s/s (miles),Distance in Acceleration Zones: 3 - 4 m/s/s (miles),Distance in Acceleration Zones: > 4 m/s/s (miles),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg (miles),Distance in Power Zone: 5 - 10 w/kg (miles),Distance in Power Zone: 10 - 15 w/kg (miles),Distance in Power Zone: 15 - 20 w/kg (miles),Distance in Power Zone: 20 - 25 w/kg (miles),Distance in Power Zone: 25 - 30 w/kg (miles),Distance in Power Zone: 30 - 35 w/kg (miles),Distance in Power Zone: 35 - 40 w/kg (miles),Distance in Power Zone: 40 - 45 w/kg (miles),Distance in Power Zone: 45 - 50 w/kg (miles),Distance in Power Zone: > 50 w/kg (miles),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s,Decel / Min G-7,Decel / Min G-7,Player Name
Ohio Northern,I,,1st.half,I,1.1512,I,103.4708,I,11,167.8956,0,0,0,85.648,I,15.5096,44.1095,3.1464,17.3886,0,0,0,0.9533,0.0736,0.0655,0.0396,0.0192,2692.9,26.9,20.7,11.2,4.7,19,0,0,0,0,0,4,4,2,1,0.4455,0.0915,0.0261,0.01,0.004,474.7,63.6,15.1,5.3,1.8,0.4593,0.0965,0.0161,0.0021,0.0002,2107.1,72.6,14,2,0.2,0.2137,0.2919,0.2871,0.1482,0.0968,0.059,0.0258,0.0158,0.0094,0.0022,0.0012,2171,271.8,166.2,68.9,37.2,20.9,9.2,6,3.6,0.9,0.7,2756.3,0,0,0,0,0,51,33,4,2,0,37,26,13,6,,,I
Ohio Northern,O,,1st.half,O,1.8382,O,279.1133,O,19,267.4664,0,0,0,125.4256,O,16.469,70.4347,5.0124,26.4076,0,0,0,0.1875,0.9937,0.4985,0.1418,0.0168,1537.7,962.1,212,40.9,3.7,28,0,0,0,0,0,9,7,2,1,0.7616,0.1428,0.0394,0.0109,0.0023,969.8,101.9,22.7,6.4,1.1,0.7051,0.1356,0.0337,0.0061,0.0008,1518.5,104.8,24.4,5.8,1,0.357,0.551,0.3539,0.2515,0.1531,0.0716,0.0455,0.0228,0.0117,0.0083,0.0118,1765.7,550.4,206.4,113.5,57.8,26.1,16,8.3,4.5,3,4.7,2756.3,0,0,0,0,0,70,44,17,5,0,88,32,15,5,,,O
Ohio Northern,P,,1st.half,P,2.246,P,75.3486,P,19,394.7131,0,0,0,135.7587,P,15.0821,86.0606,5.8743,30.4539,0,0,0,1.9887,0.1199,0.0946,0.0312,0.0116,2670.5,44,30.1,8.8,2.9,31,0,0,0,0,0,12,6,1,0,0.9915,0.1299,0.0295,0.0118,0.0035,1060.2,89.4,16.2,5.7,1.7,0.9216,0.1287,0.0245,0.0046,0.0005,1467.8,93.8,16.9,4.2,0.4,0.5363,0.7246,0.4714,0.2467,0.1368,0.0606,0.0296,0.0163,0.0132,0.0049,0.0056,1534.3,737,268.3,112.3,52.6,23.5,12.4,6.4,5,2.1,2.4,2756.3,0,0,0,0,0,87,23,14,2,0,66,34,13,8,,,P
Ohio Northern,X,,1st.half,X,0.0531,X,0,X,0,9.0335,0,0,0,40.0329,X,2.2718,2.0351,0.1157,0.0073,0,0,0,0.0525,0.0006,0,0,0,2755.6,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0283,0.0003,0.0001,0,0,1138.6,0.8,0.2,0,0,0.0242,0.0002,0,0,0,1615.2,1.4,0.2,0,0,0.0529,0.0002,0,0,0,0,0,0,0,0,0,2756.2,0.2,0,0,0,0,0,0,0,0,0,2756.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,X
Ohio Northern,R ,,1st.half,R ,0.0283,R ,0,R ,0,4.139,0,0,0,7.6612,R ,3.0224,1.084,0.0654,0,0,0,0,0.0238,0.0045,0,0,0,2750,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154,0.0014,0,0,0,210,3.8,0,0,0,0.0108,0.0006,0.0001,0,0,2537.9,4.5,0.2,0,0,0.027,0.0012,0,0,0,0,0,0,0,0,0,2754.7,1.7,0,0,0,0,0,0,0,0,0,2756.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,R 
Ohio Northern,M,,1st.half,M,2.8599,M,178.546,M,16,447.0091,1,0,0,208.0871,M,15.7034,109.5814,7.6671,42.2036,0,0,0,0.2592,1.5611,0.9382,0.0997,0.0018,838.6,1474.5,415.1,27.8,0.4,104,1,0,0,0,0,8,5,2,1,1.1601,0.2147,0.0453,0.0127,0.0059,1168.3,155.4,29.1,7.4,3.3,1.1586,0.2282,0.0315,0.0026,0.0003,1192.8,171.4,25.7,2.7,0.3,0.5392,0.7623,0.7583,0.4537,0.174,0.0937,0.0396,0.0216,0.0093,0.0048,0.0033,1220.3,753.3,433.2,209.7,74.4,35,15.5,8.1,3.8,1.6,1.5,2756.3,0,0,0,0,0,123,77,9,1,0,123,56,18,13,,,M
Ohio Northern,F,,1st.half,F,1.8555,F,0,F,0,340.9636,2,0,0,120.8721,F,9.9321,71.0976,4.7267,20.5921,0,0,0,1.8401,0.0154,0,0,0,2750.5,5.9,0,0,0,15,0,0,0,0,0,0,0,0,0,0.8452,0.1026,0.0176,0.0089,0.0021,1284.5,100.9,14.4,6.1,1.3,0.7673,0.0898,0.0204,0.0013,0.0004,1217.7,108.1,21.6,1.5,0.3,0.7469,0.6514,0.3015,0.1129,0.026,0.0082,0.0045,0.0018,0.0006,0.0006,0.0012,1814.6,670.1,187,59.9,15.3,4.6,2.7,1,0.3,0.3,0.6,2756.3,0,0,0,0,0,93,45,5,1,0,86,25,15,7,,,F
Ohio Northern,H,,1st.half,H,1.754,H,171.4507,H,12,281.1973,0,0,0,134.0964,H,16.4491,67.206,4.6651,25.5923,0,0,0,1.5428,0.0732,0.0406,0.0408,0.0566,2691.6,26.9,12.8,11.5,13.5,33,0,0,0,0,0,4,6,2,0,0.7398,0.1064,0.0272,0.0119,0.0087,1142.5,77.3,16.4,6,3.7,0.7141,0.1228,0.021,0.0015,0.0005,1398.3,93.9,16.1,1.6,0.5,0.3806,0.5393,0.4407,0.1666,0.073,0.0623,0.0368,0.0225,0.0143,0.0117,0.006,1815.3,520.8,259.3,80.6,29.2,21.2,11.9,7.3,4.9,3.7,2.1,2756.3,0,0,0,0,0,67,41,4,2,0,70,19,12,11,,,H
Ohio Northern,B ,,1st.half,B ,1.4433,B ,89.8521,B ,10,252.3843,0,0,0,101.1858,B ,13.6653,55.3026,3.8698,21.8256,0,0,0,0.1543,0.7821,0.4559,0.0511,0,1820.8,720.9,199.4,15.3,0,42,0,0,0,0,0,8,1,1,0,0.6029,0.1091,0.0243,0.005,0.0009,772.5,79.1,13.3,2.7,0.5,0.5769,0.1008,0.0194,0.0036,0.0004,1789.1,80.6,14.8,3.4,0.4,0.2792,0.3945,0.3804,0.207,0.0966,0.0438,0.0188,0.0097,0.0043,0.005,0.0041,1990,381,217.8,93.5,38.6,17.6,8,4,2,1.9,2,2756.3,0,0,0,0,0,64,29,11,2,0,61,22,8,4,,,B 
Ohio Northern,V,,1st.half,V,3.1795,V,72.4243,V,18,567.7264,0,0,0,249.3227,V,14.2718,121.8265,8.575,53.4864,0,0,0,2.8334,0.2296,0.0753,0.0279,0.0132,2636.3,84.8,24.1,7.8,3.4,147,0,0,0,0,0,14,2,1,1,1.3283,0.2431,0.0498,0.0173,0.0027,1163,182.7,31.2,9.8,1.4,1.2565,0.2303,0.0429,0.0079,0.0006,1130.9,190.3,38.2,8.1,0.8,0.4409,0.9393,0.9702,0.51,0.1786,0.073,0.0304,0.0194,0.0092,0.0036,0.0049,937.5,885.3,561.7,235,76.6,30.2,13.6,8.6,3.8,1.7,2.4,2756.3,0,0,0,0,0,178,79,28,5,0,182,63,28,7,,,V
Ohio Northern,K ,,1st.half,K ,3.0218,K ,165.3352,K ,24,546.6041,0,0,0,205.1757,K ,15.3505,115.7861,8.1348,46.1706,0,0,0,2.6395,0.1771,0.1113,0.0544,0.0395,2630.6,65.2,35.4,15.4,9.7,38,0,0,0,0,0,16,6,2,0,1.2703,0.2148,0.0506,0.0137,0.0039,1218.1,143.4,27.5,6.8,2.1,1.1908,0.2302,0.041,0.006,0.0006,1159.5,163.2,30,5.3,0.4,0.5261,0.9396,0.7346,0.4105,0.1931,0.1018,0.0471,0.0343,0.0161,0.0061,0.0125,1068,916.2,421.7,189.9,77.9,38.2,18.4,12.7,6.3,2.2,4.8,2756.4,0,0,0,0,0,131,54,23,2,0,129,58,21,9,,,K 
Ohio Northern,E,,1st.half,E,0.7777,E,34.1228,E,2,154.4103,0,0,0,62.8442,E,13.203,29.7974,2.1115,12.8215,0,0,0,0.084,0.4679,0.2063,0.0194,0,2249.8,408.7,92.2,5.6,0,41,0,0,0,0,0,1,1,0,0,0.3048,0.0713,0.0155,0.0018,0,383.3,52.8,10.8,1.3,0,0.305,0.0668,0.0115,0.0006,0.0002,2240.9,56.1,10.1,0.8,0.2,0.133,0.2463,0.2136,0.1057,0.0405,0.0218,0.0104,0.0036,0.002,0.0002,0.0005,2315.1,228.9,126.5,50.8,18.2,9.2,4.4,1.9,0.9,0.1,0.3,2756.4,0,0,0,0,0,52,26,2,1,0,45,25,5,0,,,E
Ohio Northern,L ,,1st.half,L ,3.1975,L ,151.9352,L ,20,548.6757,4,0,0,232.5576,L ,14.8484,122.5153,8.6757,52.9314,0,0,0,2.8197,0.2064,0.0851,0.0609,0.0254,2629.6,76.2,27.1,17.1,6.4,75,4,0,0,0,0,11,7,2,0,1.328,0.2605,0.0554,0.0163,0.0033,1183.7,182.1,32.6,8.5,1.7,1.2334,0.2463,0.0467,0.0072,0.0004,1113.4,185.7,41,7.2,0.5,0.4647,0.9083,0.9303,0.4994,0.1941,0.0922,0.0517,0.0261,0.0172,0.0072,0.0065,976,850.2,536.2,233.6,81.6,36.8,20.2,9.7,6.4,2.7,3,2756.3,0,0,0,0,0,142,96,25,3,0,162,74,26,8,,,L 
Ohio Northern,U,,1st.half,U,0.7969,U,68.4228,U,9,130.3427,1,0,0,72.0695,U,14.8435,30.536,2.2356,11.7871,0,0,0,0.669,0.0509,0.0381,0.0282,0.0107,2715,18.7,12.1,7.9,2.7,20,1,0,0,0,0,6,1,2,0,0.2839,0.0539,0.0276,0.0124,0.006,936.5,38.5,13.4,6.2,2.9,0.3209,0.0672,0.0228,0.0016,0.0006,1698,44.9,14.2,1.4,0.4,0.161,0.2386,0.1568,0.0918,0.059,0.0327,0.0198,0.013,0.0101,0.0057,0.0085,2328.5,237.5,90.4,43,23.4,12.3,7.1,4.8,3.9,2.2,3.3,2756.3,0,0,0,0,0,31,20,5,2,0,22,13,12,9,,,U
Ohio Northern,N,,1st.half,N,0.083,N,0,N,0,14.0604,0,0,0,27.2716,N,3.5095,3.1821,0.1872,0.0508,0,0,0,0.083,0,0,0,0,2756.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0453,0.0017,0.0002,0,0,764.1,4.2,0.3,0,0,0.0348,0.001,0,0,0,1982.7,5,0.1,0,0,0.0772,0.0058,0,0,0,0,0,0,0,0,0,2749.4,7,0,0,0,0,0,0,0,0,0,2756.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,N
Ohio Northern,C ,,2nd.half,C ,2.6265,C ,71.2388,C ,12,459.3936,1,0,0,212.4631,C ,14.6247,95.4432,6.6821,41.5852,0,0,0,2.3458,0.1661,0.0741,0.0334,0.0071,2809.7,61.2,23.5,9.4,1.8,237,1,0,0,0,0,4,7,1,0,1.0974,0.1924,0.0398,0.0092,0.002,1089.3,134.2,26.4,5.1,1.1,1.0613,0.1921,0.0285,0.0034,0.0005,1478.2,144.6,22.9,3.4,0.4,0.3581,0.768,0.7643,0.4343,0.1654,0.0713,0.0339,0.0165,0.0081,0.0029,0.0036,1419.4,726.8,434.4,200.8,69.1,28.2,13.8,6.7,3.5,1.4,1.5,2905.7,0,0,0,0,0,140,64,13,2,0,132,54,17,6,23,,C 
Ohio Northern,S,,2nd.half,S,3.0642,S,142.072,S,18,559.9137,1,0,0,206.1638,S,15.5394,111.3485,7.7899,47.6718,0,0,0,2.6857,0.2024,0.0954,0.0592,0.0215,2779,74.4,30.4,16.5,5.4,144,1,0,0,0,0,10,7,1,0,1.1923,0.2253,0.0646,0.0186,0.004,1200,157.3,37.3,9.4,1.9,1.3143,0.1983,0.0376,0.0081,0.0011,1318.9,145.5,26.7,7.7,1,0.5069,1.0787,0.6918,0.3981,0.1902,0.0917,0.0468,0.028,0.0118,0.0095,0.0109,1118.8,1053.9,398.2,181.3,76.2,35.4,17.9,10.5,4.6,3.9,5,2905.6,0,0,0,0,0,131,51,23,7,0,119,59,29,12,41,,S
Ohio Northern,A,,2nd.half,A,1.1581,A,134.6989,A,12,213.8932,1,0,0,102.7538,A,14.5502,42.0821,3.0196,14.9981,0,0,0,0.2104,0.5638,0.3074,0.0765,0,2229.3,519.5,134.8,22.1,0,32,1,0,0,0,0,9,2,1,0,0.4656,0.0958,0.0219,0.01,0.0032,1206.9,67.3,10.7,4.3,1.6,0.4435,0.0904,0.022,0.0047,0.0009,1531,63.2,16.1,3.9,0.7,0.3056,0.2715,0.2707,0.1379,0.0706,0.0344,0.024,0.0176,0.0124,0.0065,0.0067,2359.8,259,156.6,63.1,27.7,12.7,9.3,7.1,4.7,2.7,3,2905.6,0,0,0,0,0,44,29,8,4,0,56,18,6,6,12,,A
Ohio Northern,Q,,2nd.half,Q,1.8316,Q,0,Q,8,376.1654,0,0,0,125.2853,Q,11.0207,66.5565,4.5139,26.1624,0,0,0,1.7036,0.1138,0.0142,0,0,2858.7,42.3,4.7,0,0,31,0,0,0,0,0,7,1,0,0,0.778,0.1142,0.027,0.0062,0.0012,853.5,85.6,18.2,3.6,0.7,0.7842,0.1062,0.0131,0.0012,0.0003,1839.7,90.3,12.7,1.2,0.2,0.363,0.5639,0.4906,0.295,0.0893,0.0196,0.0052,0.0016,0.0013,0.0014,0.0007,1869.1,568.5,278,135.9,40.2,9.1,2.4,0.8,0.7,0.6,0.4,2905.6,0,0,0,0,0,87,31,4,1,0,61,38,11,4,15,,Q
Ohio Northern,Z,,2nd.half,Z,0.0818,Z,0,Z,0,10.9863,0,0,0,33.0354,Z,3.2013,2.9713,0.1729,0,0,0,0,0.0818,0,0,0,0,2905.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0438,0.0015,0,0,0,953.3,3.6,0,0,0,0.036,0.0005,0,0,0,1945.9,2.9,0,0,0,0.0796,0.0021,0,0,0,0,0,0,0,0,0,2903.1,2.6,0,0,0,0,0,0,0,0,0,2905.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Z
Ohio Northern,I,,2nd.half,I,0.0313,I,0,I,0,3.7799,0,0,0,5.3109,I,2.7937,1.1362,0.0672,0,0,0,0,0.0313,0,0,0,0,2905.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163,0.0003,0,0,0,139.7,0.9,0,0,0,0.0146,0.0001,0,0,0,2764.2,0.9,0,0,0,0.0303,0.001,0,0,0,0,0,0,0,0,0,2904.4,1.3,0,0,0,0,0,0,0,0,0,2905.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,I
Ohio Northern,O,,2nd.half,O,0.518,O,82.9088,O,4,77.694,0,0,0,43.115,O,15.1318,18.8246,1.3812,6.7316,0,0,0,0.0736,0.2688,0.1285,0.0471,0,2578.3,258.6,55.6,13.2,0,8,0,0,0,0,0,2,1,0,1,0.1914,0.0456,0.0153,0.008,0.0008,467.5,34.1,9.9,3.9,0.3,0.196,0.0477,0.0102,0.0024,0.0006,2341.8,36.5,8.8,2.4,0.5,0.1161,0.1492,0.0929,0.0636,0.0328,0.0276,0.0152,0.0112,0.0058,0.0014,0.0024,2634.7,148.4,56.4,29.7,13.1,9.8,5.4,4,2.6,0.6,1,2905.6,0,0,0,0,0,24,12,7,1,0,23,10,10,3,13,,O
Ohio Northern,P,,2nd.half,P,2.7874,P,86.6861,P,20,493.09,0,0,0,167.4,P,14.4458,101.2901,6.9611,38.2455,0,0,0,2.5148,0.1522,0.0711,0.0379,0.0114,2813.5,56,22.7,10.6,2.9,40,0,0,0,0,0,16,4,0,0,1.2046,0.157,0.043,0.0168,0.009,1322.7,108.8,24.8,8.2,4.1,1.1424,0.1656,0.0408,0.0077,0.0005,1283.9,115.8,29.3,7.5,0.6,0.644,0.9993,0.5395,0.3082,0.1425,0.0721,0.0374,0.0197,0.0076,0.0099,0.0073,1322.9,1010.2,308.3,140.4,60.2,29.5,15.5,8.2,3,4.1,3.4,2905.6,0,0,0,0,0,84,49,24,3,0,85,36,20,13,33,,P
Ohio Northern,X,,2nd.half,X,1.622,X,8.47,X,2,326.9622,1,0,0,111.2034,X,11.7117,58.9423,3.9731,12.8644,0,0,0,0.5586,0.8242,0.2345,0.0048,0,1902.6,897.2,104.4,1.5,0,25,1,0,0,0,0,2,0,0,0,0.7211,0.1051,0.0209,0.0072,0.0027,1326.6,98.7,15.7,5.1,1.4,0.6496,0.0878,0.0218,0.005,0.0008,1329.6,101.8,21.2,4.7,0.9,0.8868,0.2993,0.2337,0.1199,0.0417,0.018,0.0102,0.0044,0.0028,0.0031,0.002,2364.7,300.7,141.1,57.5,20.8,8.6,5.6,2.2,1.8,1.6,1.1,2905.6,0,0,0,0,0,56,28,18,2,0,40,37,15,6,21,,X
Ohio Northern,R ,,2nd.half,R ,1.3786,R ,187.0762,R ,15,238.5192,0,0,0,97.9394,R ,15.5394,50.0973,3.5777,19.4308,0,0,0,0.1278,0.6662,0.4784,0.1049,0.0014,2056.8,615.1,203.6,29.9,0.3,25,0,0,0,0,0,6,9,0,0,0.5645,0.1053,0.0315,0.0081,0.0016,701.4,69.6,18.5,4.4,0.8,0.5308,0.1132,0.02,0.0032,0.0004,2010.4,82,15.3,2.9,0.4,0.2261,0.3446,0.314,0.2532,0.116,0.0591,0.0253,0.0193,0.009,0.0046,0.0075,2188.3,336.1,179.7,110.7,45.2,21.2,9.3,6.9,3.5,1.7,3.1,2905.6,0,0,0,0,0,55,34,6,3,0,52,29,17,3,20,,R 
Ohio Northern,M,,2nd.half,M,2.7028,M,230.8075,M,23,420.9543,0,0,0,202.7515,M,15.8377,98.2167,6.8495,34.7501,0,0,0,0.355,1.4934,0.7233,0.1294,0.0018,1114.3,1437,317.4,36.5,0.4,100,0,0,0,0,0,11,10,2,0,1.1157,0.1757,0.0465,0.0174,0.0053,1276,132,29.8,9.5,2.3,1.1065,0.197,0.0343,0.0044,0,1270.1,150.3,30.9,4.7,0,0.6678,0.7101,0.6215,0.3557,0.1601,0.0881,0.0474,0.0245,0.0154,0.0063,0.0058,1543.2,700.3,361.3,165.7,65.1,33.3,17.5,9.1,5.8,2.3,2,2905.6,0,0,0,0,0,108,58,14,1,0,103,53,25,8,33,,M
Ohio Northern,F,,2nd.half,F,0.0427,F,0,F,0,7.1746,0,0,0,5.9993,F,3.2113,1.5531,0.0943,0.0241,0,0,0,0.0427,0,0,0,0,2905.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206,0.0011,0.0001,0,0,139.3,2.5,0.1,0,0,0.0205,0.0004,0,0,0,2761.5,2.2,0.1,0,0,0.0373,0.0054,0,0,0,0,0,0,0,0,0,2899,6.7,0,0,0,0,0,0,0,0,0,2905.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,F
Ohio Northern,H,,2nd.half,H,1.1387,H,16.5376,H,5,175.9066,0,0,0,101.9271,H,12.5767,41.3785,2.7684,15.2223,0,0,0,1.065,0.0465,0.0178,0.0094,0,2880.1,17.2,5.6,2.7,0,13,0,0,0,0,0,3,2,0,0,0.5125,0.0635,0.0093,0.0025,0.0003,1331,50.7,6,1.4,0.2,0.4823,0.0604,0.0071,0.0008,0,1454.6,52.8,8.1,0.8,0,0.2867,0.3298,0.3176,0.1235,0.0484,0.0195,0.0086,0.0032,0.0002,0.0008,0.0003,2308.8,322.4,182.3,58.9,20.2,7.7,3.4,1.3,0.1,0.3,0.2,2905.6,0,0,0,0,0,42,20,1,1,0,41,14,3,1,4,,H
Ohio Northern,B ,,2nd.half,B ,2.0935,B ,258.3675,B ,17,367.2307,0,0,0,133.854,B ,15.7283,76.0735,5.3416,30.899,0,0,0,0.1713,1.1182,0.6572,0.1402,0.0066,1537.6,1042.7,284.1,39.7,1.5,33,0,0,0,0,0,7,5,4,1,0.858,0.1472,0.0388,0.0132,0.0031,896.8,98.2,21.1,5.8,1.8,0.8539,0.1479,0.0272,0.0038,0.0004,1747.3,110.9,20.2,3.2,0.3,0.3295,0.6301,0.475,0.3159,0.1574,0.0955,0.0415,0.0185,0.0119,0.0075,0.0108,1751.3,614.4,271.4,141,61.8,33.7,14.1,6.6,4.4,2.7,4.2,2905.5,0,0,0,0,0,88,44,11,2,0,82,31,13,8,21,,B 
Ohio Northern,V,,2nd.half,V,2.9757,V,93.2609,V,11,519.9453,0,0,0,230.8177,V,14.3364,108.1333,7.45,42.8414,0,0,0,2.6991,0.1629,0.0607,0.042,0.011,2811.5,60.3,19.3,11.7,2.8,119,0,0,0,0,0,2,7,2,0,1.3057,0.2072,0.0371,0.0053,0.0009,1292.7,155.9,23.9,3.4,0.3,1.1979,0.1845,0.0314,0.0048,0.001,1236.2,159,28.8,4.6,0.8,0.6409,0.8816,0.8043,0.3732,0.1535,0.0707,0.0267,0.0117,0.0057,0.0034,0.004,1311.6,839.4,466.4,174.1,64.4,28.1,10.7,4.9,2.5,1.4,2.1,2905.6,0,0,0,0,0,141,75,16,4,0,142,64,15,1,16,,V
Ohio Northern,K ,,2nd.half,K ,2.6612,K ,194.9568,K ,24,474.5828,0,0,0,171.9294,K ,17.2146,96.7052,6.7,32.6335,0,0,0,2.2791,0.1563,0.115,0.058,0.0528,2782.9,57.3,36.6,16.2,12.6,37,0,0,0,0,0,14,5,5,0,1.1204,0.1829,0.046,0.0107,0.0014,1304.3,115.9,24.2,5.6,0.6,1.0764,0.1804,0.0375,0.0054,0.0001,1306.4,119.9,24.7,3.9,0.1,0.7098,0.8163,0.4679,0.275,0.1701,0.0871,0.0547,0.034,0.0206,0.01,0.0157,1546,817.7,272.2,124.2,65.5,31.7,19.4,12.9,7.1,3.5,5.4,2905.6,0,0,0,0,0,78,54,20,1,0,93,44,21,3,24,,K 
Ohio Northern,E,,2nd.half,E,0.8437,E,59.8653,E,5,165.8415,1,0,0,66.3019,E,14.0083,30.6605,2.1514,12.2174,0,0,0,0.1038,0.4563,0.2496,0.034,0,2376.8,412.4,106.9,9.6,0,40,1,0,0,0,0,2,2,1,0,0.362,0.0664,0.0136,0.0028,0.0008,451.4,49.9,9.4,1.7,0.5,0.3254,0.0604,0.0116,0.0009,0,2328.3,52.8,10.6,1.1,0,0.167,0.2375,0.1926,0.1412,0.0556,0.0294,0.0117,0.0057,0.0023,0,0.0007,2462,223.5,114.2,63,23.4,11.3,4.5,2.4,1.1,0,0.3,2905.6,0,0,0,0,0,43,24,2,0,0,39,20,6,1,7,,E
Ohio Northern,L ,,2nd.half,L ,3.0407,L ,321.798,L ,29,531.7747,2,0,0,226.2075,L ,16.3,110.4939,7.9764,43.3011,0,0,0,2.5736,0.1644,0.1198,0.1057,0.0772,2759.1,60.5,37.8,29.4,18.9,130,2,0,0,0,0,13,12,4,0,1.2396,0.2285,0.081,0.0235,0.0084,1265.3,156.8,46.7,12,3.9,1.1343,0.2513,0.0612,0.0114,0.0015,1170.1,194.7,44,10.7,1.5,0.5817,0.8973,0.7029,0.3459,0.2052,0.1224,0.0725,0.0455,0.0259,0.0214,0.02,1273.3,865.3,412.6,162.6,80.9,43.1,26.2,16.1,9.7,8.3,7.6,2905.6,0,0,0,0,0,136,80,33,7,0,120,68,33,13,46,,L 
Ohio Northern,U,,2nd.half,U,0.7099,U,81.276,U,8,118.2061,0,0,0,58.939,U,16.29,25.7956,1.9234,9.7364,0,0,0,0.5428,0.0797,0.0412,0.0203,0.0259,2851.2,29.3,13.1,5.7,6.3,28,0,0,0,0,0,4,2,1,1,0.2633,0.0684,0.0216,0.0074,0.0008,631.4,43.6,11.4,3.9,0.3,0.2597,0.0705,0.0149,0.0025,0.0009,2153.3,47.3,10.9,2.6,0.9,0.1247,0.1293,0.1528,0.138,0.0618,0.0448,0.0227,0.0137,0.0078,0.0043,0.0098,2576.6,122.4,84.4,60.5,24.8,15.8,8.3,4.7,2.9,1.7,3.5,2905.5,0,0,0,0,0,25,17,6,4,0,24,17,10,2,12,,U
Ohio Northern,N,,2nd.half,N,1.1974,N,47.4441,N,8,250.0728,0,0,0,108.0183,N,13.7001,43.5113,3.1588,17.1737,0,0,0,1.0708,0.0704,0.0292,0.0235,0.0035,2862.8,26,9.3,6.6,0.9,36,0,0,0,0,0,4,4,0,0,0.4565,0.1288,0.027,0.0035,0.001,903.6,91.6,16.6,1.8,0.5,0.4336,0.1188,0.0245,0.0035,0.0001,1776.2,92.7,19,3.5,0.1,0.2513,0.3295,0.2895,0.1583,0.0858,0.0375,0.0207,0.0119,0.0067,0.0029,0.0033,2273.7,316.1,168.2,74.5,37.8,15.2,9.3,5.2,2.7,1.3,1.6,2905.5,0,0,0,0,0,67,41,12,1,0,72,46,5,4,9,,N
,,,,,32,,2017,,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,
,,,,,0.060,,,,Team PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Team Decel,,
,,,,,,,,,2nd Half,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2nd half,,