Session Title,Player Name,Minutes Played,Split Name,Tags,Split Start Time,Split End Time,Duration,Player Name,Distance (miles),Player Name,Sprint Distance (yards),Player Name,Power Plays,Energy (kcal),Impacts,Hr Load,Time In Red Zone (min),Player Load,Player Name,Top Speed (mph),Distance Per Min (yd/min),Power Score (w/kg),Work Ratio,Hr Max (bpm),Max Deceleration,Max Acceleration,Distance in Speed Zone 1  (miles),Distance in Speed Zone 2  (miles),Distance in Speed Zone 3  (miles),Distance in Speed Zone 4  (miles),Distance in Speed Zone 5  (miles),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s  (miles),Distance in Deceleration Zones: 1 - 2 m/s/s  (miles),Distance in Deceleration Zones: 2 - 3 m/s/s  (miles),Distance in Deceleration Zones: 3 - 4 m/s/s  (miles),Distance in Deceleration Zones: > 4 m/s/s  (miles),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s  (miles),Distance in Acceleration Zones: 1 - 2 m/s/s  (miles),Distance in Acceleration Zones: 2 - 3 m/s/s  (miles),Distance in Acceleration Zones: 3 - 4 m/s/s  (miles),Distance in Acceleration Zones: > 4 m/s/s  (miles),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg  (miles),Distance in Power Zone: 5 - 10 w/kg  (miles),Distance in Power Zone: 10 - 15 w/kg  (miles),Distance in Power Zone: 15 - 20 w/kg  (miles),Distance in Power Zone: 20 - 25 w/kg  (miles),Distance in Power Zone: 25 - 30 w/kg  (miles),Distance in Power Zone: 30 - 35 w/kg  (miles),Distance in Power Zone: 35 - 40 w/kg  (miles),Distance in Power Zone: 40 - 45 w/kg  (miles),Distance in Power Zone: 45 - 50 w/kg  (miles),Distance in Power Zone: > 50 w/kg  (miles),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s,,,Player Name
Trine,M,90,all,game,44828.53426,44828.61825,7257,M,5.5308,M,518.2683,M,50,868.879,3,0,0,406.1764,M,17.0,80.4816,5.6606,28.5765,0,0,0,0.7672,2.8403,1.6289,0.2808,0.0136,3679.4,2780.5,713.3,80.8,3,171,3,0,0,0,0,31,17,1,1,2.2631,0.3704,0.1125,0.0393,0.0151,2947.6,268.8,65.7,20.2,7.3,2.2243,0.4068,0.0817,0.0148,0.0028,3559.3,312.6,60.4,12.8,2.3,1.3397,1.4761,1.2087,0.7368,0.3675,0.1714,0.0897,0.057,0.032,0.0257,0.0262,4459.4,1475.6,685.5,335.8,148,64.6,34.3,21.6,12.4,9.1,10.7,7257,0,0,0,0,0,205,123,31,9,0,194,102,41,32,73,73,M
Trine,E,67,all,game,44828.53436,44828.61855,7274,E,5.0289,E,171.1347,E,27,989.9608,0,0,0,378.7687,E,13.9,73.0073,5.1303,29.5819,0,0,0,0.5195,2.7976,1.6146,0.0972,0,3978.1,2564.6,702,29,0,248,0,0,0,0,0,16,7,4,0,2.0716,0.4115,0.0882,0.0223,0.0034,2147.5,306.7,57,12.9,1.9,1.9807,0.3776,0.0619,0.0111,0.0006,4368.5,311.9,55.8,10.9,0.6,0.9192,1.4778,1.2716,0.8302,0.3071,0.1228,0.0573,0.0223,0.012,0.0041,0.0044,4517.1,1411.2,737.6,376.3,131.5,54.6,24.8,10.8,5.5,2,2.3,7273.7,0,0,0,0,0,256,124,43,3,0,272,117,35,13,48,48,E
Trine,X,45,all,game,44828.53589,44828.61816,7107,X,1.8695,X,4.2738,X,2,362.7854,1,0,0,169.584,X,12.2,27.7781,1.8023,5.0751,0,0,0,0.6992,0.9783,0.1896,0.0024,0,5897.5,1122.1,86.9,0.7,0,19,1,0,0,0,0,1,1,0,0,0.8886,0.0852,0.0157,0.0059,0.0036,2977.9,100.2,13.8,4.4,1.7,0.7794,0.0714,0.0138,0.0046,0.0013,3875.6,112.9,15.4,4.2,1.1,1.128,0.4048,0.2075,0.0859,0.0196,0.0115,0.0021,0.0023,0.001,0.0021,0.0047,6493.6,424.6,122.9,43.1,10.3,6,1.1,1.4,0.6,1,2.6,7107.3,0,0,0,0,0,68,18,10,8,0,48,14,16,5,21,21,X
Trine,V,90,all,game,44828.53506,44828.61877,7233,V,6.672,V,249.4317,V,52,1187.1024,2,0,0,507.3436,V,16.3,97.4098,6.8328,40.1985,0,0,0,5.801,0.4756,0.2537,0.1164,0.0253,6938.6,175,80.5,32.9,6.1,175,2,0,0,0,0,34,14,2,2,2.8222,0.479,0.1245,0.0234,0.0055,2821.3,342.4,74.6,13.8,3.2,2.647,0.4617,0.09,0.0174,0.0015,3511,375.5,74.6,15.2,1.5,1.1379,1.9092,1.8135,0.9916,0.4512,0.1779,0.0895,0.0445,0.0245,0.0169,0.0154,3598,1809.4,1045.4,452.3,178.3,70.4,36.3,18.4,10.3,6.7,7.6,7233.1,0,0,0,0,0,317,166,49,8,0,271,145,50,16,66,66,V
Trine,A,0,all,game,44828.53479,44828.61836,7221,A,0.4198,A,0,A,0,62.8748,0,0,0,117.6576,A,3.4,6.1391,0.3572,0.0194,0,0,0,0.3162,0.1036,0,0,0,7081.9,138.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2234,0.0017,0.0002,0,0,3188.8,3.7,0.2,0,0,0.194,0.0006,0,0,0,4024.9,3,0,0,0,0.3909,0.0289,0,0,0,0,0,0,0,0,0,7185.9,34.7,0,0,0,0,0,0,0,0,0,7220.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
Trine,U,63,all,game,44828.53877,44828.62021,7037,U,4.9403,U,552.0106,U,45,795.1103,3,0,0,325.9275,U,17.3,74.1363,5.3423,31.0097,0,0,0,3.9686,0.3927,0.2654,0.1625,0.1511,6726.4,143.8,84.5,45.6,36.2,108,3,0,0,0,0,21,10,8,6,1.8939,0.3711,0.129,0.0479,0.0211,2229.1,244.7,69.3,22.9,9,1.9502,0.4237,0.0882,0.0146,0.0007,4106.9,281.6,60.6,11.8,0.6,0.7659,1.6261,0.9033,0.6506,0.4159,0.2323,0.1307,0.0899,0.0576,0.0299,0.0379,4270.2,1587.2,523.3,291.7,161.6,83.1,45.3,30.5,19.4,10.5,13.7,7036.5,0,0,0,0,0,189,113,42,6,0,178,97,45,36,81,81,U
Trine,Q,72,all,game,44828.53719,44828.61925,7090,Q,5.578,Q,84.3873,Q,30,1170.637,2,0,0,413.3815,Q,13.4,83.0798,5.7573,33.229,0,0,0,4.8859,0.5027,0.1415,0.0472,0.0008,6844.3,186.2,45.4,13.5,0.2,151,2,0,0,0,0,18,9,3,0,2.2641,0.398,0.097,0.0235,0.0023,2444.5,285.5,63.7,13.9,1.3,2.3472,0.3847,0.0544,0.0067,0.0001,3914.1,310.3,48.7,7.5,0.1,0.9529,1.4337,1.4868,1.1103,0.4083,0.1203,0.0408,0.0158,0.0056,0.0027,0.0009,4092.4,1403.6,841.8,499.5,170.4,51.9,17.7,7.7,2.7,1.4,0.5,7089.6,0,0,0,0,0,263,126,26,2,0,226,127,48,10,58,58,Q
Trine,P,85,all,game,44828.53863,44828.61853,6903,P,5.524,P,277.5495,P,32,983.0572,4,0,0,338.5554,P,16.0,84.5047,5.8417,31.4366,0,0,0,4.9213,0.2782,0.1668,0.0876,0.0701,6705.9,102.1,53.3,24.6,17.2,74,4,0,0,0,0,17,9,3,3,2.3864,0.3358,0.0847,0.0366,0.0167,2696.9,239.5,47.1,19.3,7.3,2.2213,0.3506,0.0772,0.0132,0.0016,3559.9,260.7,59,11.9,1.5,1.2632,1.7893,1.1776,0.6468,0.2875,0.1624,0.0787,0.0526,0.0287,0.0157,0.0214,3867.3,1808.1,673.6,297.1,118.7,61.8,30.4,20.1,11.4,6.5,8.1,6903.3,0,0,0,0,0,198,105,38,6,0,185,79,45,27,72,72,P
Trine,L,29,all,game,44828.53449,44828.61877,7282,L,2.5502,L,256.2208,L,19,436.6412,1,0,0,223.0888,L,15.6,36.9817,2.6135,14.0075,0,0,0,2.1894,0.1301,0.0851,0.0777,0.0679,7168.5,47.8,27.1,21.6,16.8,89,1,0,0,0,0,7,8,4,0,1.0376,0.1865,0.0457,0.0204,0.0076,2037.4,135.6,28.5,10.3,3.8,1.0161,0.1891,0.04,0.0065,0.0007,4869.3,157.5,31.9,6.8,0.7,0.5534,0.6525,0.6277,0.317,0.1602,0.1141,0.0592,0.0344,0.0151,0.009,0.0078,5991.8,631.8,360,149.5,65,38.4,20.5,12.7,5.3,3.5,3.3,7281.8,0,0,0,0,0,107,70,19,6,0,102,46,29,12,41,41,L
Trine,B ,50,all,game,44828.53478,44828.61856,7239,B ,4.106,B ,414.7647,B ,31,717.4089,0,0,0,306.1827,B ,15.4,59.8966,4.1886,23.5843,0,0,0,0.5027,2.0903,1.2773,0.2317,0.004,4713.6,1904.8,554.3,65.1,0.9,73,0,0,0,0,0,18,7,3,3,1.6916,0.2909,0.0709,0.0221,0.0078,2686,203.9,42,11.7,3.9,1.668,0.2992,0.0467,0.0081,0.0007,4005.5,238.3,39.3,7.5,0.6,0.781,1.1228,0.9856,0.6219,0.2801,0.1644,0.0678,0.0454,0.0186,0.0088,0.0096,5086.6,1077.2,567.8,279.8,113.5,58.9,24.3,16.1,7.1,3.3,4.1,7238.7,0,0,0,0,0,181,92,26,4,0,156,70,23,18,41,41,B 
Trine,K ,90,all,game,44828.53456,44828.6185,7252,K ,6.0337,K ,461.6861,K ,53,1106.8,0,0,0,429.9677,K ,15.9,87.8602,6.2606,33.5342,0,0,0,5.1283,0.4235,0.2196,0.1361,0.1263,6957,155.8,70.1,38,31.1,92,0,0,0,0,0,31,16,5,1,2.5045,0.4509,0.1372,0.0388,0.0116,3140.5,305.4,76.8,19.3,5.1,2.274,0.4911,0.1034,0.0189,0.0035,3255,357.7,73.8,15.2,3.2,1.2429,1.7777,1.2996,0.7812,0.3766,0.2453,0.1298,0.0724,0.0502,0.0259,0.0322,4032.5,1755.1,748.9,355.4,152.5,89.5,48.4,28.2,17.7,10.1,13.7,7252.1,0,0,0,0,0,240,137,54,17,0,232,137,57,23,80,80,K 
Trine,C ,23,all,game,44828.53437,44828.61831,7252,C ,2.1406,C ,25.7556,C ,12,373.434,5,0,0,209.0192,C ,12.7,31.1702,2.1763,12.4502,0,0,0,1.8823,0.1645,0.0792,0.0146,0,7162.3,60.3,25.3,4.2,0,160,5,0,0,0,0,7,4,0,1,0.8748,0.1692,0.0376,0.0063,0.0031,1994.2,118.4,24.6,4,1.4,0.853,0.1688,0.0253,0.0023,0.0001,4959.1,128.6,19.8,1.9,0.1,0.4287,0.5763,0.5349,0.3425,0.1544,0.0522,0.0278,0.0112,0.0062,0.0028,0.0036,6128.8,552.6,306.2,156.6,63.6,22.6,11.7,4.7,2.6,1.2,1.5,7252.1,0,0,0,0,0,107,61,11,2,0,97,51,15,4,19,19,C 
Trine,I,72,all,game,44828.54407,44828.61804,6391,I,5.392,I,545.2029,I,63,788.988,1,0,0,391.0558,I,15.9,89.0936,6.3773,32.7194,0,0,0,4.3367,0.3843,0.3612,0.1952,0.1146,6052.4,140.5,114.2,54.9,28.7,131,1,0,0,0,0,29,21,8,5,2.1635,0.3998,0.1243,0.0439,0.0172,2228.9,273.1,71.3,23.5,8.3,2.095,0.4345,0.0992,0.0132,0.0014,3378.3,317.4,76.3,12.1,1.5,1.0892,1.2601,1.2406,0.719,0.496,0.2978,0.1491,0.0749,0.0322,0.0184,0.0148,3741.1,1206.6,715,328.3,184.9,104.8,54.7,28.4,12.8,7.4,6.7,6390.7,0,0,0,0,0,224,137,45,6,0,190,109,49,28,77,77,I
Trine,S ,90,all,game,44828.53445,44828.61802,7221,S ,6.7256,S ,571.2614,S ,52,1241.3722,1,0,0,458.7317,S ,15.6,98.3548,6.9499,39.6978,0,0,0,5.5853,0.5224,0.2932,0.2112,0.1134,6847.6,192.5,93.3,59.1,28.3,301,1,0,0,0,0,22,19,6,5,2.5999,0.5398,0.1497,0.0413,0.0103,2872.7,356.7,87.4,23.5,5.2,2.7537,0.5199,0.0986,0.0111,0.0011,3416.8,374.2,72.7,10.2,1.4,1.1482,1.9873,1.4584,1.0017,0.5256,0.2971,0.1457,0.0737,0.0438,0.0226,0.0215,3561.9,1959.5,826.3,447.8,205.4,104.9,53.9,27.8,16.4,8.3,8.6,7220.8,0,0,0,0,0,266,160,39,5,0,227,149,58,22,80,80,S 
Trine,H,18,all,game,44828.53436,44828.6176,7192,H,1.6624,H,68.0707,H,10,258.8337,0,0,0,180.7,H,13.8,24.4086,1.6458,7.5893,0,0,0,1.4918,0.0877,0.0442,0.0313,0.0073,7134.6,32.4,14,8.8,1.9,30,0,0,0,0,0,5,4,1,0,0.7379,0.0892,0.0199,0.0077,0.0034,3040.3,72.7,10.7,4.6,1.8,0.6862,0.0974,0.0192,0.0013,0.0002,3964.5,80.9,14.7,1.2,0.3,0.5505,0.4279,0.3229,0.1888,0.0845,0.0412,0.0215,0.0131,0.0061,0.0024,0.0035,6419.9,435.9,182.6,86,33,16.3,8.4,5.1,2.1,0.9,1.5,7191.7,0,0,0,0,0,48,27,4,2,0,46,14,10,8,18,18,H
Trine,F,45,all,game,44828.53579,44828.61813,7114,F,1.9919,F,12.5842,F,3,358.5729,1,0,0,160.6552,F,13.2,29.5674,1.9261,7.3141,0,0,0,1.9607,0.0168,0.0072,0.0068,0.0004,7103.2,6.2,2.3,1.9,0.1,30,0,0,0,0,0,3,0,0,0,0.9522,0.0836,0.0249,0.0076,0.0014,2311.6,92.5,19.7,5,0.9,0.8172,0.0872,0.0151,0.0019,0.0007,4539.4,124.2,17.7,2.3,0.4,0.9648,0.6424,0.2509,0.079,0.0304,0.0101,0.0059,0.0026,0.0028,0.0013,0.0015,6221.6,669.5,153.6,41.8,15.4,5.5,2.8,1.1,1.1,0.5,0.8,7113.7,0,0,0,0,0,74,33,8,1,0,53,30,14,7,21,21,F
Trine,R,61,all,game,44828.53438,44828.61788,7215,R,4.6478,R,420.4843,R,37,794.7203,2,0,0,302.6153,R,15.6,68.0262,4.801,26.6321,0,0,0,0.4763,2.2723,1.6602,0.2341,0.0048,4310.1,2119.4,716.3,67.7,1.1,48,2,0,0,0,0,20,13,2,2,1.9172,0.3303,0.0918,0.0337,0.011,2147.3,237,55.8,20,5.6,1.8516,0.3333,0.066,0.011,0.0019,4410,271.3,54.9,10.6,2.1,0.8051,1.1994,1.169,0.8189,0.3453,0.1562,0.0669,0.036,0.0202,0.0118,0.0189,4749,1183.7,659.5,365.2,137.1,59.3,26.3,14.3,7.7,4.8,7.7,7214.6,0,0,0,0,0,183,112,26,11,0,153,90,57,18,75,75,R
Trine,Z,0,all,game,44828.53416,44828.61803,7247,Z,0.4715,Z,0,Z,0,64.714,0,0,0,95.7624,Z,7.0,6.871,0.4084,0.1297,0,0,0,0.4715,0,0,0,0,7246.7,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0.2507,0.0074,0.0006,0,0,2338.5,14.9,0.8,0,0,0.2086,0.0034,0.0008,0,0,4879.5,12,1,0,0,0.4282,0.0394,0.0025,0.0005,0.0004,0.0004,0,0,0,0,0,7197.8,46.3,1.7,0.3,0.3,0.3,0,0,0,0,0,7246.8,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,Z
Trine,N,0,all,game,44828.53499,44828.61668,7057,N,0.2397,N,0,N,0,40.8728,0,0,0,53.7814,N,6.1,3.5872,0.2126,0.1445,0,0,0,0.2397,0,0,0,0,7057.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1272,0.0038,0.0005,0,0,1493.9,7.3,0.4,0,0,0.1056,0.0025,0.0001,0,0,5548.7,6.7,0.4,0,0,0.2058,0.0306,0.0027,0.0006,0,0,0,0,0,0,0,7020.7,34.2,2,0.5,0,0,0,0,0,0,0,7057.4,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,N
Trine,M,,1st HALF,game,44828.54275,44828.57465,2756,M,2.5918,M,254.9992,M,22,411.1922,1,0,0,186.1139,M,16.9909,99.3068,7.0535,36.8033,0,0,0,0.3383,1.3154,0.7932,0.1313,0.0136,1096.9,1269.5,349.9,36.7,3,82,1,0,0,0,0,13,8,0,1,1.0687,0.1805,0.0559,0.0186,0.0061,1223.4,127.3,31.7,9.9,3,1.0111,0.2006,0.0395,0.0091,0.0015,1172,151.9,28.6,7.1,1.1,0.5755,0.7069,0.5849,0.3641,0.1489,0.0837,0.0431,0.0307,0.0183,0.0161,0.0195,1419.5,700.5,329.9,166.4,61.9,31.1,16.1,11.1,6.4,5.4,7.7,2756.1,0,0,0,0,0,95,61,17,4,0,95,50,23,14,37,37,M
Trine,E,,1st HALF,game,44828.54275,44828.57465,2756,E,1.7404,E,99.933,E,16,349.2748,0,0,0,129.5,E,13.9387,66.6847,4.777,27.4228,0,0,0,0.1593,0.9309,0.5935,0.0568,0,1647.6,836.2,255.4,16.9,0,80,0,0,0,0,0,9,4,3,0,0.7227,0.1566,0.0313,0.0091,0.0004,677.7,114,20.4,5.2,0.3,0.6446,0.14,0.0293,0.0065,0,1788.1,117.2,27.3,5.9,0,0.2718,0.4844,0.4505,0.2966,0.1358,0.0524,0.0268,0.011,0.0056,0.0025,0.0028,1797,463.5,261.3,133.9,55.9,22.5,11.3,5.5,2.6,1.2,1.4,2756.1,0,0,0,0,0,84,47,26,0,0,98,42,17,2,19,19,E
Trine,X,,1st HALF,game,44828.54275,44828.57465,2756,X,0.0485,X,0,X,0,8.3078,0,0,0,33.9922,X,1.9089,1.8587,0.1064,0,0,0,0,0.0482,0.0003,0,0,0,2755.6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263,0.0006,0,0,0,971.4,1.8,0,0,0,0.0213,0.0003,0,0,0,1780.1,2.8,0,0,0,0.0485,0.0001,0,0,0,0,0,0,0,0,0,2756,0.1,0,0,0,0,0,0,0,0,0,2756.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X
Trine,V,,1st HALF,game,44828.54275,44828.57465,2756,V,3.2144,V,168.5876,V,33,582.2377,0,0,0,241.5545,V,16.3,123.1638,8.7951,52.3384,0,0,0,2.6833,0.2902,0.1451,0.0756,0.0202,2577.2,106.7,46,21.4,4.8,101,0,0,0,0,0,22,8,1,2,1.3223,0.2634,0.0696,0.0101,0.0025,1168,178.9,40.5,6,1.4,1.2293,0.2542,0.053,0.0096,0.0004,1111.9,198.7,42.2,8.1,0.4,0.4594,0.8884,0.8738,0.5087,0.2604,0.1001,0.0576,0.029,0.0157,0.0105,0.0106,995.8,834.9,504.6,229.1,101.4,40.2,23.2,11.9,6.4,3.8,4.8,2756.1,0,0,0,0,0,154,91,31,3,0,139,83,21,8,29,29,V
Trine,A,,1st HALF,game,44828.54275,44828.57465,2756,A,0.0721,A,0,A,0,10.5183,0,0,0,47.0487,A,1.6852,2.7614,0.1566,0,0,0,0,0.0721,0,0,0,0,2756.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0407,0,0,0,0,1337.1,0.1,0,0,0,0.0313,0.0001,0,0,0,1417.9,1,0,0,0,0.0721,0,0,0,0,0,0,0,0,0,0,2756.1,0,0,0,0,0,0,0,0,0,0,2756.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
